time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-01-30 23:59:00,Currently connected,2017-01-30 23:59:00,None,None,
2017-01-31 01:23:20,Disconnected,2017-01-31 01:20:17,None,1:21:16,
2017-01-31 09:17:20,Reconnected,2017-01-31 09:17:20,7:57:03,1:21:16,
2017-01-31 09:20:59,Disconnected,2017-01-31 09:17:50,None,0:00:29,
2017-01-31 11:26:50,Reconnected,2017-01-31 11:26:50,2:08:59,0:00:29,
2017-01-31 11:42:20,Disconnected,2017-01-31 11:39:09,None,0:12:18,
2017-01-31 11:55:10,Reconnected,2017-01-31 11:55:10,0:16:01,0:12:18,
2017-01-31 13:25:46,Disconnected,2017-01-31 13:22:32,None,1:27:21,
2017-01-31 17:26:37,Reconnected,2017-01-31 17:26:37,4:04:05,1:27:21,
2017-01-31 18:08:35,Disconnected,2017-01-31 18:05:48,None,0:39:10,
2017-01-31 22:35:43,Reconnected,2017-01-31 22:35:43,4:29:55,0:39:10,
2017-02-01 00:20:42,Disconnected,2017-02-01 00:17:01,None,1:41:17,
2017-02-01 00:21:46,Reconnected,2017-02-01 00:21:46,0:04:45,1:41:17,
