time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-01-27 23:58:52.576644,Connected,2017-01-27 23:58:52.576316,None,None,
2017-01-28 00:50:32.232458,Disconnected,2017-01-28 00:50:32.231959,None,0:51:39,
2017-01-28 00:50:49.088582,Connected,2017-01-28 00:50:49.088133,0:00:16,0:51:39,
2017-01-28 00:57:37.598518,Disconnected,2017-01-28 00:57:37.598227,None,0:06:48,
2017-01-28 00:58:07.374217,Connected,2017-01-28 00:58:07.373762,0:00:29,0:06:48,
2017-01-28 01:00:43.392363,Connected,2017-01-28 01:00:43.392085,0:00:13,0:02:22,
2017-01-28 01:03:10.617075,Connected,2017-01-28 01:03:10.616630,0:00:19,0:02:08,
2017-01-28 01:04:47.414984,Connected,2017-01-28 01:04:47.414537,0:00:12,0:01:24,
2017-01-28 01:14:54.858640,Disconnected,2017-01-28 01:14:54.857951,None,0:10:07,
2017-01-28 01:15:11.429863,Connected,2017-01-28 01:15:11.429195,0:00:16,0:10:07,
2017-01-28 01:20:12.445695,Disconnected,2017-01-28 01:20:12.445193,None,0:05:01,
2017-01-28 01:20:33.425977,Connected,2017-01-28 01:20:33.425470,0:00:20,0:05:01,
2017-01-28 01:22:58.565560,Connected,2017-01-28 01:22:58.565102,0:00:29,0:01:55,
2017-01-28 01:24:18.520102,Connected,2017-01-28 01:24:18.519642,0:00:17,0:01:02,
2017-01-28 01:25:23.699895,Connected,2017-01-28 01:25:23.699436,0:00:28,None,
2017-01-28 01:28:28.849672,Connected,2017-01-28 01:28:28.849220,0:00:12,0:02:52,
