time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-01-28 12:45:18.751858,Already connected,2017-01-28 12:45:18,None,None,
2017-01-28 13:19:29.889305,Disconnected,2017-01-28 13:19:29,None,0:28:53,
2017-01-28 21:18:09.998309,Reconnected,2017-01-28 21:18:09,7:58:40,None,
2017-01-28 21:52:52.830716,Disconnected,2017-01-28 21:52:52,None,0:34:42,
2017-01-28 23:14:39.178154,Disconnected,2017-01-28 23:14:39,None,0:40:42,
2017-01-28 23:35:08.172433,Disconnected,2017-01-28 23:35:08,None,0:20:12,
2017-01-29 07:58:18.025100,Reconnected,2017-01-29 07:58:18,8:23:09,None,
2017-01-29 08:11:03.668633,Disconnected,2017-01-29 08:11:03,None,0:12:45,
2017-01-29 08:25:00.797735,Disconnected,2017-01-29 08:25:00,None,0:13:41,
2017-01-29 09:05:41.349156,Disconnected,2017-01-29 09:05:41,None,0:40:20,
2017-01-29 09:33:54.481408,Disconnected,2017-01-29 09:33:54,None,0:14:45,
2017-01-29 10:12:04.292678,Disconnected,2017-01-29 10:12:04,None,0:37:35,
2017-01-29 10:34:44.744351,Disconnected,2017-01-29 10:34:44,None,0:22:10,
2017-01-29 10:53:22.416251,Disconnected,2017-01-29 10:53:22,None,0:15:10,
2017-01-29 11:22:32.153744,Disconnected,2017-01-29 11:22:32,None,0:23:19,
2017-01-29 11:59:08.348000,Disconnected,2017-01-29 11:59:08,None,0:36:20,
2017-01-29 12:32:31.632106,Disconnected,2017-01-29 12:32:31,None,0:15:03,
2017-01-29 12:43:50.241365,Disconnected,2017-01-29 12:43:50,None,0:10:51,
