time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-01-28 00:10:07.378051,Connected,2017-01-28 00:10:07.377715,None,None,
2017-01-28 00:13:19.540914,Connected,2017-01-28 00:13:19.540454,0:02:38,None,
2017-01-28 00:24:57.556381,Connected,2017-01-28 00:24:57.556106,0:11:20,None,
2017-01-28 00:32:15.110901,Connected,2017-01-28 00:32:15.110624,0:07:01,None,
2017-01-28 00:39:35.258496,Connected,2017-01-28 00:39:35.258220,0:07:04,None,
2017-01-28 00:40:11.739523,Connected,2017-01-28 00:40:11.739073,0:00:20,0:00:15,
2017-01-28 00:54:22.771447,Connected,2017-01-28 00:54:22.770950,0:12:48,None,
2017-01-28 01:09:08.325113,Connected,2017-01-28 01:09:08.324652,0:14:29,None,
2017-01-28 01:23:52.243242,Connected,2017-01-28 01:23:52.242780,0:14:13,None,
2017-01-28 01:38:29.242188,Connected,2017-01-28 01:38:29.241913,0:13:58,None,
2017-01-28 01:53:22.357393,Connected,2017-01-28 01:53:22.356930,0:14:01,None,
2017-01-28 02:22:42.911017,Connected,2017-01-28 02:22:42.910557,0:28:35,None,
2017-01-28 02:37:50.046202,Connected,2017-01-28 02:37:50.045926,0:14:04,None,
2017-01-28 02:52:22.540353,Connected,2017-01-28 02:52:22.539809,0:14:16,None,
2017-01-28 03:06:58.490931,Connected,2017-01-28 03:06:58.490649,0:13:58,None,
