time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-01-28 12:44:42.852295,Already connected,2017-01-28 12:44:42,None,None,
2017-01-28 13:18:44.299193,Disconnected,2017-01-28 13:18:44,None,0:34:01,
2017-01-28 20:17:41.853394,Reconnected,2017-01-28 20:17:41,6:58:57,None,
2017-01-28 20:48:14.012282,Disconnected,2017-01-28 20:48:14,None,0:30:32,
2017-01-28 21:04:24.265153,Disconnected,2017-01-28 21:04:24,None,0:14:49,
2017-01-28 22:16:18.667240,Disconnected,2017-01-28 22:16:18,None,1:11:21,
2017-01-28 22:40:59.636144,Reconnected,2017-01-28 22:40:59,0:13:46,None,
2017-01-28 22:55:33.352753,Reconnected,2017-01-28 22:55:33,0:14:18,None,
2017-01-28 23:10:11.106125,Reconnected,2017-01-28 23:10:11,0:13:46,None,
2017-01-28 23:25:23.294085,Reconnected,2017-01-28 23:25:23,0:14:24,None,
2017-01-28 23:39:40.598388,Reconnected,2017-01-28 23:39:40,0:13:01,None,
2017-01-28 23:59:48.230666,Reconnected,2017-01-28 23:59:48,0:19:51,None,
2017-01-29 00:13:03.478410,Reconnected,2017-01-29 00:13:03,0:12:39,None,
2017-01-29 00:36:09.394315,Reconnected,2017-01-29 00:36:09,0:22:50,None,
2017-01-29 01:03:06.092614,Reconnected,2017-01-29 01:03:06,0:14:26,None,
2017-01-29 01:17:44.978617,Reconnected,2017-01-29 01:17:44,0:14:22,None,
2017-01-29 01:50:03.066181,Disconnected,2017-01-29 01:50:03,None,0:10:25,
2017-01-29 02:08:07.706063,Disconnected,2017-01-29 02:08:07,None,0:16:46,
2017-01-29 02:40:19.276136,Disconnected,2017-01-29 02:40:19,None,0:31:54,
