time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-03-26 22:09:24,Currently disconnected,Sun 26 Mar 22:09,None,None,
2017-03-26 22:33:27,Reconnected,Sun 26 Mar 22:33,0:24:03,None,
2017-03-26 23:41:13,Currently disconnected,Sun 26 Mar 23:41,None,None,
2017-03-27 00:22:52,Disconnected,Mon 27 Mar 00:19,None,1:45:56,
2017-03-27 00:27:30,Reconnected,Mon 27 Mar 00:27,0:08:06,None,
2017-03-27 00:50:51,Disconnected,Mon 27 Mar 00:47,None,0:19:42,
2017-03-27 08:34:00,Reconnected,Mon 27 Mar 08:34,7:46:47,None,
2017-03-27 08:41:54,Disconnected,Mon 27 Mar 08:39,None,0:05:15,
2017-03-27 09:09:32,Reconnected,Mon 27 Mar 09:09,0:30:17,None,
2017-03-27 09:36:03,Disconnected,Mon 27 Mar 09:33,None,0:23:45,
2017-03-27 18:55:24,Reconnected,Mon 27 Mar 18:55,9:22:06,None,
2017-03-27 20:42:28,Currently disconnected,Mon 27 Mar 20:42,None,None,
2017-03-28 01:31:02,Disconnected,Tue 28 Mar 01:27,None,6:32:06,
2017-03-28 05:06:36,Reconnected,Tue 28 Mar 05:06,3:39:04,None,
2017-03-28 05:12:09,Disconnected,Tue 28 Mar 05:09,None,0:02:24,
2017-03-28 06:47:29,Reconnected,Tue 28 Mar 06:47,1:38:29,None,
2017-03-28 07:11:59,Currently disconnected,Tue 28 Mar 07:11,None,None,
2017-03-28 07:35:17,Disconnected,Tue 28 Mar 07:31,None,0:44:17,
2017-03-28 08:15:10,Reconnected,Tue 28 Mar 08:15,0:43:23,None,
2017-03-28 08:58:09,Disconnected,Tue 28 Mar 08:55,None,0:40:06,
2017-03-28 09:02:39,Reconnected,Tue 28 Mar 09:02,0:07:22,None,
2017-03-28 09:39:03,Disconnected,Tue 28 Mar 09:36,None,0:33:37,
2017-03-28 10:50:13,Reconnected,Tue 28 Mar 10:50,1:13:56,None,
2017-03-28 12:40:02,Disconnected,Tue 28 Mar 12:37,None,1:47:00,
2017-03-29 11:43:17,Reconnected,Wed 29 Mar 11:43,23:06:03,None,
2017-03-29 12:08:51,Currently disconnected,Wed 29 Mar 12:08,None,None,
2017-03-29 13:40:17,Disconnected,Wed 29 Mar 13:37,None,1:54:09,
2017-03-29 18:51:10,Reconnected,Wed 29 Mar 18:51,5:13:43,None,
2017-03-29 21:29:04,Currently disconnected,Wed 29 Mar 21:29,None,None,
2017-03-29 21:39:36,Disconnected,Wed 29 Mar 21:36,None,2:45:26,
2017-03-29 21:48:52,Reconnected,Wed 29 Mar 21:48,0:12:14,None,
2017-03-29 21:57:02,Disconnected,Wed 29 Mar 21:54,None,0:05:11,
2017-03-29 22:07:09,Reconnected,Wed 29 Mar 22:07,0:13:05,None,
2017-03-29 22:16:00,Disconnected,Wed 29 Mar 22:12,None,0:05:25,
2017-03-30 12:42:27,Reconnected,Thu 30 Mar 12:42,14:29:52,None,
2017-03-30 13:06:37,Disconnected,Thu 30 Mar 13:03,None,0:21:15,
2017-03-30 17:46:49,Reconnected,Thu 30 Mar 17:46,4:43:07,None,
2017-03-30 18:16:16,Currently disconnected,Thu 30 Mar 18:16,None,None,
2017-03-30 19:53:36,Disconnected,Thu 30 Mar 19:50,None,2:03:41,
2017-03-30 22:05:16,Reconnected,Thu 30 Mar 22:05,2:14:45,None,
2017-03-30 22:47:38,Currently disconnected,Thu 30 Mar 22:47,None,None,
2017-03-30 23:29:39,Disconnected,Thu 30 Mar 23:26,None,1:21:02,
