time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-03-20 23:06:31,Currently disconnected,Mon 20 Mar 23:06,None,None,
2017-03-21 00:09:43,Reconnected,Tue 21 Mar 00:09,1:03:11,0,
2017-03-21 00:21:57,Currently disconnected,Tue 21 Mar 00:21,None,None,
2017-03-21 09:51:49,Disconnected,Tue 21 Mar 09:48,None,9:39:07,
2017-03-21 10:11:05,Reconnected,Tue 21 Mar 10:11,0:22:15,0,
2017-03-21 10:13:00,Currently disconnected,Tue 21 Mar 10:13,None,None,
2017-03-21 10:21:43,Disconnected,Tue 21 Mar 10:18,None,0:07:37,
2017-03-21 10:37:51,Reconnected,Tue 21 Mar 10:37,0:19:07,0,
2017-03-21 10:39:23,Currently disconnected,Tue 21 Mar 10:39,None,None,
2017-03-21 10:46:53,Disconnected,Tue 21 Mar 10:44,None,0:06:11,
2017-03-21 10:49:13,Reconnected,Tue 21 Mar 10:49,0:05:10,0,
2017-03-21 10:55:51,Currently disconnected,Tue 21 Mar 10:55,None,None,
