time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-02-04 11:27:28,Currently connected,2017-02-04 11:27:28,None,0,
2017-02-04 14:50:39,Disconnected,2017-02-04 14:47:56,None,3:20:27,
2017-02-04 14:51:05,Reconnected,2017-02-04 14:51:05,0:03:09,0,
2017-02-04 17:44:16,Disconnected,2017-02-04 17:40:43,None,2:49:38,
2017-02-04 22:34:41,Reconnected,2017-02-04 22:34:41,4:53:57,0,
2017-02-05 06:10:15,Disconnected,2017-02-05 06:07:30,None,7:32:49,
2017-02-05 06:55:26,Reconnected,2017-02-05 06:55:26,0:47:56,0,
2017-02-05 07:04:56,Disconnected,2017-02-05 07:01:44,None,0:06:18,
2017-02-05 08:55:10,Reconnected,2017-02-05 08:55:10,1:53:25,0,
2017-02-05 09:08:51,Disconnected,2017-02-05 09:05:52,None,0:10:42,
2017-02-05 10:35:11,Reconnected,2017-02-05 10:35:11,1:29:18,0,
2017-02-05 11:24:34,Disconnected,2017-02-05 11:21:30,None,0:46:19,
2017-02-05 20:17:40,Reconnected,2017-02-05 20:17:40,8:56:09,0,
2017-02-05 22:32:25,Disconnected,2017-02-05 22:29:19,None,2:11:39,
2017-02-06 02:43:35,Reconnected,2017-02-06 02:43:35,4:14:15,0,
2017-02-06 03:54:55,Disconnected,2017-02-06 03:52:01,None,1:08:26,
2017-02-06 04:10:35,Reconnected,2017-02-06 04:10:35,0:18:34,0,
2017-02-06 09:29:03,Disconnected,2017-02-06 09:26:01,None,5:15:25,
2017-02-06 19:25:12,Reconnected,2017-02-06 19:25:12,9:59:11,0,
2017-02-06 21:32:11,Disconnected,2017-02-06 21:29:28,None,2:04:15,
2017-02-07 10:08:26,Reconnected,2017-02-07 10:08:26,12:38:58,0,
2017-02-07 10:36:05,Disconnected,2017-02-07 10:32:56,None,0:24:29,
2017-02-07 12:27:08,Reconnected,2017-02-07 12:27:08,1:54:12,0,
2017-02-07 13:21:53,Disconnected,2017-02-07 13:19:05,None,0:51:57,
2017-02-07 23:01:01,Reconnected,2017-02-07 23:01:01,9:41:55,0,
2017-02-07 23:19:34,Disconnected,2017-02-07 23:16:31,None,0:15:30,
2017-02-08 00:50:33,Reconnected,2017-02-08 00:50:33,1:34:02,0,
2017-02-08 02:23:23,Disconnected,2017-02-08 02:20:21,None,1:29:47,
2017-02-08 10:28:41,Reconnected,2017-02-08 10:28:41,8:08:20,0,
2017-02-08 10:48:05,Disconnected,2017-02-08 10:45:24,None,0:16:43,
2017-02-08 12:45:40,Reconnected,2017-02-08 12:45:40,2:00:15,0,
2017-02-08 13:34:41,Disconnected,2017-02-08 13:32:03,None,0:46:23,
2017-02-08 15:03:00,Reconnected,2017-02-08 15:03:00,1:30:56,0,
2017-02-08 15:47:57,Disconnected,2017-02-08 15:45:28,None,0:42:28,
2017-02-08 16:50:10,Reconnected,2017-02-08 16:50:10,1:04:42,0,
2017-02-08 18:38:03,Disconnected,2017-02-08 18:35:13,None,1:45:02,
2017-02-08 21:16:54,Reconnected,2017-02-08 21:16:54,2:41:40,0,
2017-02-09 04:24:35,Disconnected,2017-02-09 04:21:45,None,7:04:50,
2017-02-09 05:17:52,Reconnected,2017-02-09 05:17:52,0:56:07,0,
2017-02-09 05:25:37,Disconnected,2017-02-09 05:22:42,None,0:04:49,
2017-02-09 06:41:38,Reconnected,2017-02-09 06:41:38,1:18:56,0,
2017-02-09 07:59:28,Disconnected,2017-02-09 07:56:58,None,1:15:19,
2017-02-09 08:45:42,Reconnected,2017-02-09 08:45:42,0:48:44,0,
2017-02-09 08:54:40,Disconnected,2017-02-09 08:51:42,None,0:05:59,
2017-02-09 10:04:14,Reconnected,2017-02-09 10:04:14,1:12:32,0,
2017-02-09 13:18:53,Disconnected,2017-02-09 13:16:07,None,3:11:52,
2017-02-09 18:24:33,Reconnected,2017-02-09 18:24:33,5:08:26,0,
2017-02-09 22:45:37,Disconnected,2017-02-09 22:42:38,None,4:18:04,
2017-02-09 23:38:42,Reconnected,2017-02-09 23:38:42,0:56:03,0,
2017-02-09 23:46:25,Disconnected,2017-02-09 23:43:24,None,0:04:41,
2017-02-10 00:44:30,Reconnected,2017-02-10 00:44:30,1:01:06,0,
2017-02-10 13:33:25,Disconnected,2017-02-10 13:30:33,None,12:46:03,
2017-02-10 21:05:05,Reconnected,2017-02-10 21:05:05,7:34:32,0,
2017-02-10 22:32:10,Disconnected,2017-02-10 22:27:52,None,1:22:46,
2017-02-10 22:37:45,Reconnected,2017-02-10 22:37:45,0:09:53,0,
2017-02-11 08:04:04,Disconnected,2017-02-11 08:01:07,None,9:23:22,
2017-02-11 09:25:38,Reconnected,2017-02-11 09:25:38,1:24:30,0,
2017-02-11 11:51:25,Disconnected,2017-02-11 11:48:33,None,2:22:54,
2017-02-11 20:41:25,Reconnected,2017-02-11 20:41:25,8:52:52,0,
2017-02-11 20:46:15,Disconnected,2017-02-11 20:43:10,None,0:01:44,
2017-02-11 22:13:11,Reconnected,2017-02-11 22:13:11,1:30:01,0,
2017-02-12 01:59:20,Disconnected,2017-02-12 01:55:49,None,3:42:37,
2017-02-12 10:08:44,Reconnected,2017-02-12 10:08:44,8:12:54,0,
2017-02-12 15:58:00,Disconnected,2017-02-12 15:54:33,None,5:45:48,
2017-02-12 16:09:51,Reconnected,2017-02-12 16:09:51,0:15:18,0,
2017-02-12 16:24:39,Disconnected,2017-02-12 16:21:08,None,0:11:16,
2017-02-13 16:54:32,Reconnected,2017-02-13 16:54:32,1 day, 0:33:24,0,
2017-02-13 17:35:22,Disconnected,2017-02-13 17:32:19,None,0:37:47,
2017-02-13 20:27:52,Reconnected,2017-02-13 20:27:52,2:55:33,0,
2017-02-13 20:49:10,Disconnected,2017-02-13 20:46:18,None,0:18:25,
2017-02-14 11:12:50,Reconnected,2017-02-14 11:12:50,14:26:32,0,
2017-02-14 11:36:46,Disconnected,2017-02-14 11:33:59,None,0:21:08,
2017-02-15 14:30:44,Reconnected,2017-02-15 14:30:44,1 day, 2:56:45,0,
2017-02-15 15:47:19,Disconnected,2017-02-15 15:44:39,None,1:13:54,
2017-02-15 19:58:12,Reconnected,2017-02-15 19:58:12,4:13:33,0,
2017-02-15 22:40:17,Disconnected,2017-02-15 22:36:52,None,2:38:39,
2017-02-16 07:15:24,Reconnected,2017-02-16 07:15:24,8:38:32,0,
2017-02-16 07:40:23,Disconnected,2017-02-16 07:37:14,None,0:21:49,
2017-02-16 14:11:00,Reconnected,2017-02-16 14:11:00,6:33:45,0,
2017-02-16 14:15:19,Disconnected,2017-02-16 14:11:58,None,0:00:58,
2017-02-16 17:55:55,Reconnected,2017-02-16 17:55:55,3:43:56,0,
2017-02-16 18:26:29,Disconnected,2017-02-16 18:23:30,None,0:27:35,
2017-02-16 20:58:17,Reconnected,2017-02-16 20:58:17,2:34:46,0,
2017-02-16 23:44:19,Disconnected,2017-02-16 23:40:42,None,2:42:25,
2017-02-17 00:06:03,Reconnected,2017-02-17 00:06:03,0:25:20,0,
