time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-01-30 22:29:25,Currently connected,2017-01-30 22:29:25,None,None,
2017-01-30 22:50:29,Disconnected,2017-01-30 22:46:38,None,0:17:13,
2017-01-30 23:36:40,Reconnected,2017-01-30 23:36:40,0:50:01,0:17:13,
2017-01-31 08:21:44,Disconnected,2017-01-31 08:18:42,None,8:42:02,
2017-01-31 19:07:32,Reconnected,2017-01-31 19:07:32,10:48:49,8:42:02,
2017-02-01 08:34:17,Disconnected,2017-02-01 08:30:38,None,13:23:05,
2017-02-01 18:52:00,Reconnected,2017-02-01 18:52:00,10:21:21,13:23:05,
2017-02-01 21:16:48,Disconnected,2017-02-01 21:13:41,None,2:21:41,
2017-02-01 23:18:28,Reconnected,2017-02-01 23:18:28,2:04:46,2:21:41,
2017-02-02 07:15:21,Disconnected,2017-02-02 07:12:17,None,7:53:49,
2017-02-02 18:32:59,Reconnected,2017-02-02 18:32:59,11:20:41,7:53:49,
2017-02-02 18:54:58,Disconnected,2017-02-02 18:51:12,None,0:18:13,
2017-02-02 19:17:57,Reconnected,2017-02-02 19:17:57,0:26:45,0:18:13,
2017-02-02 19:30:47,Disconnected,2017-02-02 19:27:30,None,0:09:32,
2017-02-03 07:17:51,Reconnected,2017-02-03 07:17:51,11:50:20,0:09:32,
