time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-02-04 11:29:00,Currently connected,2017-02-04 11:29:00,None,0,
2017-02-04 13:21:52,Disconnected,2017-02-04 13:18:49,None,1:49:49,
2017-02-04 14:18:06,Reconnected,2017-02-04 14:18:06,0:59:17,0,
2017-02-04 21:13:54,Disconnected,2017-02-04 21:10:12,None,6:52:05,
2017-02-04 23:39:14,Reconnected,2017-02-04 23:39:14,2:29:02,0,
2017-02-05 12:24:05,Disconnected,2017-02-05 12:20:53,None,12:41:39,
2017-02-05 12:57:52,Reconnected,2017-02-05 12:57:52,0:36:58,0,
2017-02-05 13:17:35,Disconnected,2017-02-05 13:14:40,None,0:16:47,
2017-02-05 13:43:23,Reconnected,2017-02-05 13:43:23,0:28:43,0,
2017-02-05 17:05:02,Disconnected,2017-02-05 17:01:33,None,3:18:09,
